txn_id,probability,reason_1,reason_2,reason_3
fb3aa3de78494f119ea53621aa9cecc2,0.9970,amount_eur=20000.00 (shap:+4.405),is_high_risk_country=1.00 (shap:+0.539),hour_of_day=8.00 (shap:+0.248)
228e4f6b1c564929a6b842033dce3cc7,0.9967,amount_eur=20000.00 (shap:+4.445),merchant_category_insurance=1.00 (shap:+0.770),is_cross_border=1.00 (shap:-0.259)
cab701632bf14ca6aaed718f391ef4e6,0.9964,amount_eur=100000.00 (shap:+4.687),merchant_category_crypto_exchange=1.00 (shap:+0.648),is_cross_border=0.00 (shap:+0.137)
f38c90b3707442bfbc69f27e8c677ab5,0.9963,amount_eur=32558.57 (shap:+4.576),channel_mobile=1.00 (shap:+0.241),hour_of_day=2.00 (shap:+0.233)
45667c0629e84695a4537a0370c2ab26,0.9962,amount_eur=26088.07 (shap:+4.767),merchant_category_crypto_exchange=1.00 (shap:+0.744),is_cross_border=1.00 (shap:-0.305)
9a39fa0ab99348b8ab3a78fcb3311a54,0.9961,amount_eur=25716.06 (shap:+4.562),is_high_risk_country=1.00 (shap:+0.542),is_cross_border=1.00 (shap:-0.131)
95143a9a52bd42f7a2fbc0e8ebf47f63,0.9960,amount_eur=85819.00 (shap:+4.640),is_cross_border=0.00 (shap:+0.240),merchant_category_real_estate=1.00 (shap:+0.137)
2b3631fea8eb472fb1cc26290e8b0500,0.9956,amount_eur=43208.27 (shap:+4.607),is_high_risk_country=1.00 (shap:+0.475),is_cross_border=1.00 (shap:-0.147)
6d86457a9dda42309a3198f5d5efc04d,0.9950,amount_eur=20297.62 (shap:+4.556),is_high_risk_country=1.00 (shap:+0.497),is_cross_border=1.00 (shap:-0.140)
85260962ed904d31bf30d6ecc08ead92,0.9948,amount_eur=25536.50 (shap:+4.730),is_cross_border=0.00 (shap:+0.149),is_high_risk_country=0.00 (shap:-0.090)
de3ce5cc362d46f4bd48ab5ffc7af8aa,0.9947,amount_eur=34425.11 (shap:+4.639),is_cross_border=0.00 (shap:+0.131),is_high_risk_country=0.00 (shap:-0.105)
c542dd7698104ec9bee7c60acee66d61,0.9947,amount_eur=27970.27 (shap:+4.651),is_cross_border=0.00 (shap:+0.150),is_high_risk_country=0.00 (shap:-0.090)
7708dd43174d4195ac3bd2e14b36ed43,0.9944,amount_eur=25811.16 (shap:+4.561),is_cross_border=0.00 (shap:+0.152),is_high_risk_country=0.00 (shap:-0.090)
5df6c8ead9ec41dcbf559f69439cc799,0.9943,amount_eur=16188.70 (shap:+4.322),merchant_category_travel=1.00 (shap:+0.200),is_cross_border=0.00 (shap:+0.103)
8b1c0b03e55b47e4821cc629f67d4301,0.9943,amount_eur=50000.00 (shap:+5.258),merchant_category_money_transfer=1.00 (shap:-0.770),hour_of_day=8.00 (shap:+0.260)
796e6f4317d647ec9373e3e26cd7c798,0.9943,amount_eur=20716.05 (shap:+4.567),is_high_risk_country=1.00 (shap:+0.526),hour_of_day=1.00 (shap:-0.335)
bc1680fcccb94fae89851353ea06cb87,0.9941,amount_eur=55732.54 (shap:+4.701),is_cross_border=0.00 (shap:+0.137),is_high_risk_country=0.00 (shap:-0.119)
e9dae1ec08b24d188bd79b110ef7a7cb,0.9941,amount_eur=25883.91 (shap:+4.812),hour_of_day=23.00 (shap:-0.242),is_high_risk_country=0.00 (shap:-0.093)
1f2018b22d6d428693a63b03923a8c7b,0.9941,amount_eur=28406.48 (shap:+4.625),day_of_week=6.00 (shap:-0.138),hour_of_day=4.00 (shap:+0.135)
82fe7a9dbcbf44668b957b5cfcf9c63f,0.9940,amount_eur=61277.29 (shap:+4.645),hour_of_day=2.00 (shap:+0.265),is_cross_border=1.00 (shap:-0.175)
